County,meanElev,Max NDVI,Mean NDVI,mean Tmax,mean Tmin,Hargreaves PET,Precipitation,Temp_range
Nairobi,1651.586192,0.5766166666666667,0.18262777777777778,21.622046875000002,11.167043750000001,3.7576703125,655.3888671875,10.455003125000001
Nairobi,1651.586192,0.5766166666666667,0.18262777777777778,21.622046875000002,11.167043750000001,3.7576703125,655.3888671875,10.455003125000001
Migori,1343.795281,-475.6087857142858,0.49772500000000003,27.316378787878786,19.51555909090909,3.920843939393939,1326.2623409090909,7.800819696969697
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,1225.50385,1324.4260846153845,7.822970769230768
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Nairobi,1651.586192,0.5766166666666667,0.18262777777777778,21.622046875000002,11.167043750000001,3.7576703125,655.3888671875,10.455003125000001
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Kisii,1746.27962,0.5863157894736841,0.36206315789473686,25.483421874999998,15.003118749999999,4.206528125,1745.2965468749999,10.480303124999999
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Migori,1343.795281,0.5607750000000001,0.16004500000000002,27.318915384615384,19.495944615384616,3.924121538461538,1324.4260846153845,7.822970769230768
Kisii,1746.27962,0.5870449999999999,0.36218000000000006,25.483421874999998,15.003118749999999,4.206528125,1745.2965468749999,10.480303124999999
Nairobi,1651.586192,0.5766166666666667,0.18262777777777778,21.622046875000002,11.167043750000001,3.7576703125,655.3888671875,10.455003125000001
Kisii,1746.27962,0.5870449999999999,0.36218000000000006,25.483421874999998,15.003118749999999,4.206528125,1745.2965468749999,10.480303124999999
Kisii,1746.27962,0.5870449999999999,0.36218000000000006,25.483421874999998,15.003118749999999,4.206528125,1745.2965468749999,10.480303124999999
Kisii,1746.27962,0.5870449999999999,0.36218000000000006,25.483421874999998,15.003118749999999,4.206528125,1745.2965468749999,10.480303124999999
Nyamira,1885.732976,0.6193666666666666,0.37985555555555556,25.346822222222222,15.07934761904762,4.1623793650793655,1691.1597142857142,10.267474603174602
Embu,1197.437626,0.5473210526315789,0.17693684210526314,24.573021875,15.193946875000002,3.9275312500000004,1045.0309296875,9.379074999999997
Kisii,1746.27962,0.5861449999999999,0.36314,25.483421874999998,15.003118749999999,4.206528125,1745.2965468749999,10.480303124999999
Siaya,1211.014926,0.5887187500000001,0.28853749999999995,25.246652459016396,21.292304918032787,2.791937704918033,1089.6829672131148,3.9543475409836084
Kisii,1746.27962,0.5861449999999999,0.36314,25.483421874999998,15.003118749999999,4.206528125,1745.2965468749999,10.480303124999999
Kilifi,147.5637627,0.45788888888888896,0.20333333333333334,30.39594603174603,21.435382539682536,4.428590476190476,166.1873968253968,8.960563492063493
Nandi,1917.119505,0.8298333333333333,0.40145714285714285,23.516315384615385,13.744173846153846,3.9016246153846152,2367.847653846153,9.77214153846154
Meru,1501.698298,0.5151450000000001,0.11299999999999999,27.50594615384615,16.504663076923073,4.537689230769231,906.9205538461539,11.001283076923077
Machakos,1342.915803,0.4938052631578948,0.12930526315789476,26.038285937500003,15.151817187499999,4.306545312500001,260.713796875,10.886468750000004
Kakamega,1519.382147,0.5814549999999999,0.34859500000000004,27.919340624999997,16.250854687500002,4.6746375,892.3331796875,11.668485937499995
Kakamega,1519.382147,0.5864736842105264,0.3538894736842105,26.69784166666667,16.25101746031746,4.675146031746031,902.2811587301587,10.44682420634921
Kisii,1746.27962,0.591178947368421,0.3653105263157894,25.480520634920634,14.988614285714286,4.210498412698413,1731.2146984126985,10.491906349206348
Nandi,1917.119505,0.6204238095238095,0.39967142857142857,23.516315384615385,13.744173846153846,3.9016246153846152,2367.847653846153,9.77214153846154
Siaya,1211.014926,0.55713125,0.2857375,25.246652459016396,21.292304918032787,2.791937704918033,1089.6829672131148,3.9543475409836084
Kericho,1971.908546,0.6082187499999999,0.40864375000000003,28.46211,17.242541666666668,4.661066666666667,1062.2315166666665,11.219568333333331
Nakuru,2139.435021,0.6268727272727272,0.35134242424242423,21.875112698412696,11.744249206349206,3.772436507936508,2115.0794047619047,10.13086349206349
