Keyword,Title,Address,Category,Latitude,Longitude,Phone Number
"Agrovets in NAirobi, Kenya",Jumbo Agrovet Limited,"Lotus House, Hailes Selassie",Agrochemicals supplier,-1.2885866,36.8284003,0722 510291
"Agrovets in NAirobi, Kenya",Kasarani Agrovet online deliveries Nairobi,"Goshen Gardens, Block B, Off Kasarani Mwiki Rd",Animal feed store,-1.2170228,36.8953518,0791 226344
"Agrovets in NAirobi, Kenya",Masimba Agrovet Ltd,"PWF5+4C6, Opposite Mama Villa, After Masimba Bus Stage, Kayole Spine Rd",Agrochemicals supplier,-1.2772066,36.9085091,0721 794880
"Agrovets in NAirobi, Kenya",Skylab Cropcare Limited/ Agrovet,"Shop No. G3/ G4, Ground Floor, Shepherd Arcade, Racecourse Rd.",Hardware store,-1.28563,36.830521,0725 881199
"Agrovets in NAirobi, Kenya","Farmers World Limited-(Agrovet), Nairobi","Globe Business Center, Slip road/Kijabe Street",Agricultural service,-1.2789934,36.82042,0719 535345
"Agrovets in NAirobi, Kenya",Bonnie Agrovet Shop,Agrochemicals supplier,Agrochemicals supplier,-1.2134096,36.9049005,0792 696104
"Agrovets in NAirobi, Kenya",Agro-Pests Solutions Agrovet (Githurai branch),45 Thika Rd,Agrochemicals supplier,-1.2070373,36.9150568,0792 400331
"Agrovets in NAirobi, Kenya",Arise And Shine Agrovet,Fertilizer supplier,Fertilizer supplier,-1.2884592,36.8302991,0722 997996
"Agrovets in NAirobi, Kenya",Ciira Agrovet Supplies Limited,"PR9F+PV, Keekorok Rd",Agricultural service,-1.2807645,36.8244836,0713 483593
"Agrovets in NAirobi, Kenya",Mifugo Agrovet centre,Haile Selassie Ave,Agrochemicals supplier,-1.2882678,36.828985,0757 057376
"Agrovets in NAirobi, Kenya",GOOD HEARTS AGROVET,Agricultural service,Agricultural service,-1.2882382,36.8285738,0768 867177
"Agrovets in NAirobi, Kenya",Githurai 45 Agrovet,Mwihoko Rd,Hay supplier,-1.2080962,36.9261452,0798 395262
"Agrovets in NAirobi, Kenya",Guelph Enterprise Agrovet,"PR9G+6FG, River Rd",Agricultural service,-1.281934,36.8262094,0722 746311
"Agrovets in NAirobi, Kenya",AECARE AGROVET LTD,"Nairobi, CBD Mfangano street",Agrochemicals supplier,-1.2875561,36.8285822,0724 933554
"Agrovets in NAirobi, Kenya",Wibiliv Wakulima Mashinani Agrovet,"Richmond House, Mfangano St",Agricultural service,-1.2866874,36.8275651,0724 035888
"Agrovets in NAirobi, Kenya",Nairobi Mega Agrovet Services Ltd,Veterinarian,Veterinarian,-1.3271643,36.8519537,020 828100
"Agrovets in NAirobi, Kenya",Farmers Solution Agrovet,"Opposite Linco Store, Mama Ngina St",Veterinary care,-1.2855356,36.8232833,0723 694728
"Agrovets in NAirobi, Kenya",SHAMBA AGROVET,"KOMBO MUNYU,Eastleigh North",Farm equipment supplier,-1.2706541,36.846857,020 6762537
"Agrovets in NAirobi, Kenya",AGRIGUARD Agrovet,Mondlane St,Agrochemicals supplier,-1.2830722,36.823876,0703 297837
"Agrovets in NAirobi, Kenya",KUZA AGROVET,Haile Selassie Ave,Agrochemicals supplier,-1.2880543,36.8293241,0759 896408
"Agrovets in NAirobi, Kenya",Nguzo Agrovet Limited Nairobi,"Kilimabogo House, Haile Selassie Avenue",Agrochemicals supplier,-1.2880604,36.8294039,0701 004488
"Agrovets in NAirobi, Kenya",Limuru Agrovet Suppliers,"Njengi Plaza, Rongai Market Rd",Arborist service,-1.2836681,36.8248773,0714 328322
"Agrovets in NAirobi, Kenya",Neta Agri Supplies,11 Mfangano St,Agricultural service,-1.2873472,36.8282666,0722 909576
"Agrovets in NAirobi, Kenya",Jambar Agrovet Ltd,Mfangano street,Agricultural product wholesaler,-1.2873912,36.8282582,0719 438552
"Agrovets in NAirobi, Kenya",Nikifarmcare E A Ltd,"Starehe, Barot House, Kijabe St",General store,-1.2782927,36.8196975,020 8098171
"Agrovets in NAirobi, Kenya",Unique Agrovet Supplies,New,Animal feed store,-1.2491426,36.9426146,0791 226344
"Agrovets in NAirobi, Kenya",Kulima Agrovet Centre,PR6H+H88,Agricultural service,-1.2885765,36.8283297,0789 365373
"Agrovets in NAirobi, Kenya",VETMA AGROVET,Veterinarian,Veterinarian,-1.3077989,36.9034356,0790 079326
"Agrovets in NAirobi, Kenya",One way Agrovet,"PR6H+XFW, Reli co-op hse, Mfangano St",Store,-1.2875196,36.8287185,0708 886152
"Agrovets in NAirobi, Kenya",NAWESO AGROVET,,Agrochemicals supplier,-1.2645935,36.7461164,0754 144899
"Agrovets in NAirobi, Kenya",Kilimo Central Agrovet,Market Road Githunguru Duruma Rd,Veterinary care,-1.283821,36.8300316,0723 961898
"Agrovets in NAirobi, Kenya",Apechem Agrovet,Jamia Mosque Mosque Road,General store,-1.2835342,36.8208583,0722 948103
"Agrovets in NAirobi, Kenya",Blessed Farm Agrovet_Utawala-Embakasi- Nairobi,Utawala fagilia,Agricultural service,-1.2836133,36.9709759,0719 563464
"Agrovets in NAirobi, Kenya",Sunton Agrovet And Animal Feeds And Chicks,"QWCC+2R8, Kasarani Mwiki Rd",Veterinary pharmacy,-1.229962,36.9220804,0707 314131
"Agrovets in NAirobi, Kenya",Fur World Agrovet and Animal Feeds,"At kamutiini stage, Kasarani Mwiki Rd",Veterinary pharmacy,-1.2334949,36.9294856,0728 685462
"Agrovets in NAirobi, Kenya",Jomoh Agrovet Shop,Kwa Reuben Embakasi South,Hay supplier,-1.319272,36.850078,0722 386226
"Agrovets in NAirobi, Kenya",AgroPests Solutions Agrovet,Mang Building Haile Selasie Avenue Opposite KFA - Bus Station,Agricultural production,-1.2876259,36.8300187,0728 400331
"Agrovets in NAirobi, Kenya",NIKIFARM AGROVET SUPPLIES,Veterinarian,Veterinarian,-1.279432,36.826318,020 2244525
"Agrovets in NAirobi, Kenya",Carefarm Agrovet ruaka square,Limuru Rd,Agricultural service,-1.206174,36.7819658,0707 352247
"Agrovets in NAirobi, Kenya",Waikiki Agrovet Supplies,"VX26+G9C, Ground Floor, Bushgate Towers, Railways Street, Ruiru, Ruiru Kamiti Road",Agrochemicals supplier,-1.1486989,36.9608933,0710 652867
"Agrovets in NAirobi, Kenya",Jumbo Agrovet,"Mang' Bldg Starehe, Haile Selassie Ave",Farm equipment supplier,-1.2640211,36.7202331,0722 510291
"Agrovets in NAirobi, Kenya",Gratia Poultry Farm & Agrovet,Mwihoko Rd,Agrochemicals supplier,-1.2051317,36.918073,0712 749425
"Agrovets in NAirobi, Kenya",Amiran Kenya Ltd,Airport N Rd,Agricultural service,-1.3253768,36.898321,0719 095000
"Agrovets in NAirobi, Kenya",Kamro Agrovet Ltd,"Starehe, Gill House, Tom Mboya St",General store,-1.2872585,36.8271301,0722 776902
"Agrovets in NAirobi, Kenya",Savannah Agrovet & Hatchery Equipment,"Information House, Mfangano Street Shop D-8",Agricultural service,-1.2872008,36.8281445,0722 362981
"Agrovets in NAirobi, Kenya",Vetagro & Pulpers Company Ltd.,Duruma Rd,Agrochemicals supplier,-1.2815722,36.8266074,0721 932932
"Agrovets in NAirobi, Kenya",Brilliance House Agrovet,Biashara St,Agricultural product wholesaler,-1.1710437,36.8280228,0111 847294
"Agrovets in NAirobi, Kenya",Wakulima Agro - Vet,"PPP9+GJQ, Uthiru Shopping Centre, Naivasha Rd",Agricultural service,-1.2636629,36.7191095,0725 580701
"Agrovets in NAirobi, Kenya",Geosim Ltd (Agrovet),"Rwathia House, Ground Floor Racecourse Rd",Veterinarian,-1.2858993,36.8304881,0713 202070
"Agrovets in NAirobi, Kenya",Utawala Agrovet Supplies,Utawala Utawala Embakasi East,Agrochemicals supplier,-1.2889226,36.9723733,0723 870386
"Agrovets in NAirobi, Kenya",RuaiI Agrovet,off kangundo Ruai,Agrochemicals supplier,-1.26735,36.989723,0720 063063
"Agrovets in NAirobi, Kenya",QAVAH ANIMAL FEEDS AND AGROVET.,Kagwathi road mihango utawala,Animal feed store,-1.2852839,36.9507092,0720 693839
"Agrovets in NAirobi, Kenya",Co-Heirs Agrovet,Waiyaki Wy,Veterinarian,-1.2596891,36.7054105,0722 520035
"Agrovets in NAirobi, Kenya",PINE FARMERS CENTRE- AGROVET,"NOT APPLICABLE, Utawala Complex, Eastern Bypass",Agrochemicals supplier,-1.2808833,36.9642521,0700 343531
"Agrovets in NAirobi, Kenya",Green Hill Agrovet,"VX23+WJ9, Opposite Ruiru Sub - County Market, Off Ruiru Kamiti Road",Agrochemicals supplier,-1.1477182,36.9540996,0723 939407
"Agrovets in NAirobi, Kenya",Twin Bell Chemist and Agrovet,"PR9G+CJP, WINA PLAZA GROUND FLOOR, CROSS ROAD THIKA",Pharmacy,-1.2814077,36.8265662,0724 877934
"Agrovets in NAirobi, Kenya",MANYATTA AGROVET AND ANIMAL FEEDS,"Corner D, Manyatta Rd",Animal feed store,-1.2870236,37.0038064,0707 731604
"Agrovets in NAirobi, Kenya",Grada Agrovet (Ruiru Farmers Centre),Ruiru Kamiti Road,Agrochemicals supplier,-1.1477606,36.9610175,0722 436216
"Agrovets in NAirobi, Kenya",CAPITAL AGROVET,QWVJ+F7Q,Veterinary pharmacy,-1.206288,36.9307328,0725 264953
"Agrovets in NAirobi, Kenya",PHILMER AGROVET,P.O BOX 10616,Veterinary pharmacy,-1.2771015,36.9082344,0116 159666
"Agrovets in NAirobi, Kenya",Jaymaish Pet shop & Agrovet Ruaka Runda,Pet store,Pet store,-1.2082384,36.7874903,0702 745381
"Agrovets in NAirobi, Kenya",Fuga Enterprises Limited,"Uthiru Shops Uthiru, Kiambu Nairobi KE",Agricultural service,-1.2638185,36.7199874,0721 369227
"Agrovets in NAirobi, Kenya",Elgon Kenya Ltd,"Behind Lab & Allied, National Park East Gate Road, Off Mombasa Road",Agrochemicals supplier,-1.3330126,36.8653874,0110 094464
"Agrovets in NAirobi, Kenya",Carefarm Agrovet ruaka,Ruaka rs opposite cleanshelf supermarket KE,Veterinary pharmacy,-1.2064485,36.7845207,0722 203578
"Agrovets in NAirobi, Kenya",jaymaish agrovet,Nyangumi Rd,Veterinary pharmacy,-1.2921673,36.7874891,0702 745381
"Agrovets in NAirobi, Kenya",Wikare Agrovet & Allied Services,Eastern By Pass,Agrochemicals supplier,-1.1601576,36.9410291,0720 754938
"Agrovets in NAirobi, Kenya",Kianda Agrovet,"JQ37+H4V, Ground Floor, Magadi Rd",Agrochemicals supplier,-1.3960157,36.7627955,0716 154967
"Agrovets in NAirobi, Kenya",Nairobi Farmers Store,"PR6J+H53, Weruga Lane",Pharmacy,-1.2886144,36.8304121,0720 367985
"Agrovets in NAirobi, Kenya",Jodys Agrovet,"PXJR+MF9, Ground Floor, Magana Plaza, Opposite Ruai Girls Secondary School, Kangundo Rd",Animal feed store,-1.268348,36.9912441,0720 462764
"Agrovets in NAirobi, Kenya",Jemorin Agrovet,"PR4C+W48, Narok East",Veterinarian,-1.292713,36.8203431,0703 737010
"Agrovets in NAirobi, Kenya",Goodwish Agrovet,Kiambu Rd,Veterinarian,-1.1618962,36.8219568,0722 243563
"Agrovets in NAirobi, Kenya",Vetplan Agrovet Kenchic Agent,JWJQ+4FJ,Veterinary care,-1.3696688,36.9386382,0728 355005
"Agrovets in NAirobi, Kenya",Lessos Agrovets,"Kapsabet main Street, Next To Baraton Building",Agrochemicals supplier,-1.2720571,36.8141827,0712 046859
"Agrovets in NAirobi, Kenya",Bondeni Agrovet,"QWV9+JV8, mwihoko kiriri road",Animal feed store,-1.2059657,36.9196884,0725 649101
"Agrovets in NAirobi, Kenya",Farmland Agrovets,"Chege building, Kangundo Rd",Animal feed store,-1.2796069,37.1105571,0725 657337
"Agrovets in NAirobi, Kenya",Greenland agrovet,Karura,Veterinarian,-1.1938186,36.7315839,0728 727181
"Agrovets in NAirobi, Kenya",Agrovet Agricultural Consultancy And Pest Control,"Amrash Business Park Eastern Bypass Rd, Rd to Utawala Academy",Pest control service,-1.2884905,36.9509428,0720 318775
"Agrovets in NAirobi, Kenya",Pharmisinya Agrovet,"No. 468, Nimmi Studio Building, Ronald Ngala St",Pharmacy,-1.287392,36.830774,0722 484452
"Agrovets in NAirobi, Kenya",Agrichem Africa Ltd,"QV3M+RQ8, Road",Agriculture,-1.2454621,36.8844559,0720 325144
"Agrovets in NAirobi, Kenya",Ultravetis East Africa Ltd,Nanyuki Rd,Agrochemicals supplier,-1.3075273,36.8644506,0722 207888
"Agrovets in NAirobi, Kenya",A.B.I Organic Agriculture Ltd.,"Fedha Plaza, Mpaka Rd",Agricultural service,-1.2634652,36.8065811,0769 047779
"Agrovets in NAirobi, Kenya",PesaPoint POS Skycom - Agrovet,Kenyatta Ave,Bank,-1.285126,36.819519,020 2853300
"Agrovets in NAirobi, Kenya",Wakulima Agrovet,QWV9+JCR,Veterinary care,-1.205888,36.9185018,0718 283648
"Agrovets in NAirobi, Kenya",vetagro supplies,"PR4C+Q5P, A104",Agrochemicals supplier,-1.2930404,36.8204583,0714 599552
"Agrovets in NAirobi, Kenya",Murphy Chemicals (East Africa) Ltd,"Murphy Chemicals E A Premises, Baba Dogo Rd",Agrochemicals supplier,-1.2443111,36.8848269,020 2017992
"Agrovets in NAirobi, Kenya",Agrichem And Tools Ltd,"Winsford Industrial Park, Baba Dogo Rd",General store,-1.245425,36.884418,020 2642115
"Agrovets in NAirobi, Kenya",Agroline Equipment & Tools Limited (MyAgrovet Kenya),Farm equipment supplier,Farm equipment supplier,0.1545604,37.9083314,0113 694511
"Agrovets in NAirobi, Kenya",Agroduka,Airport N Rd,E-commerce service,-1.3297498,36.8893026,0712 723830
"Agrovets in Trans Nzoia, Kenya",Paves Vetagro Limited,"2282+QCG, Moi Street",Agrochemicals supplier,1.0169425,35.0010929,0721 832700
"Agrovets in Trans Nzoia, Kenya",Trans County Agrovet,"2293+C67, Kwanza - Kapenguria Road",Veterinary care,1.0185282,35.0030593,0700 054762
"Agrovets in Trans Nzoia, Kenya",KARIMI AGROVET,"Matunda B, Shop No 3",Agricultural service,1.0221613,34.9987109,0113 041748
"Agrovets in Trans Nzoia, Kenya",Rift Farmers Agrovet,"Pakawa Building, Opposite K. C. B, At Moi's Bridge, Eldoret-Kitale Rd",Agrochemicals supplier,0.8760018,35.1202517,0722 403758
"Agrovets in Trans Nzoia, Kenya",Kapkisem Agrovet/M-Pesa,2292+JWM Lukhome market,Home goods store,1.0190788,35.0022822,0772 324778
"Agrovets in Trans Nzoia, Kenya",Testai Agrovet,"V4G9+QXP, Kitale Eldoret Highway, Eldoret-Kitale Rd",Agricultural service,0.8769547,35.1199614,0728 501455
"Agrovets in Trans Nzoia, Kenya",Wasima Agrovet,Kitale - Eldoret Highway near Dantex Petrol station,Agricultural service,0.9852808,35.0125531,0113 513449
"Agrovets in Trans Nzoia, Kenya",Baolanda Agrovet,"22C2+855, Opposite Total Petrol Station, Kitale, Laini Moja Street",Agriculture,1.0207574,35.0004887,0712 590454
"Agrovets in Trans Nzoia, Kenya",Brand Agro Limited,22QM+FF,Agrochemicals supplier,1.038479,35.0333699,0728 850814
"Agrovets in Trans Nzoia, Kenya",Hecter Farm Agrovet & Farminputs,Kitale - Suam Rd,Farmers' market,1.1856495,34.826986,0712 611879
"Agrovets in Trans Nzoia, Kenya",PAFANA ENTERPRISES AGROVET,Laini moja,Agricultural production,1.0208326,35.0000238,0732 627264
"Agrovets in Trans Nzoia, Kenya",Botanic Agro - Vet,"Next To Lasy Coach, Moi Ave",Agricultural service,1.0147383,35.0025444,0714 676676
"Agrovets in Trans Nzoia, Kenya",JIREH AGROVET,"3432+4QJ, SIBANGA MAILI SABA ROAD",Agrochemicals supplier,1.0528259,35.1018809,0799 878835
"Agrovets in Trans Nzoia, Kenya",Neema Agrovet,"Opposite KFA, Moi's Bridge, Eldoret-Kitale Rd",Agricultural service,0.8785604,35.1200798,0718 676731
"Agrovets in Trans Nzoia, Kenya",Mkulima Agrovet,"2283+VGX, Kwanza - Kapenguria Road",Agriculture,1.0172402,35.0038599,0708 777017
"Agrovets in Trans Nzoia, Kenya",BARAKA AGROVET,Agrochemicals supplier,Agrochemicals supplier,0.9832265,35.0253004,0725 395867
"Agrovets in Trans Nzoia, Kenya",Mkulima Agro-vet By John Bosire,QQMQ+MMH,Agrochemicals supplier,0.7841887,34.789246,0733 922688
"Agrovets in Trans Nzoia, Kenya",Paves Vetagro Limited,434,Agricultural service,1.2587761,35.0964586,0721 832700
"Agrovets in Trans Nzoia, Kenya",Happy Farm Agrovet,"Makutano - Lodwar Road, Opposite Ola Petrol Station",Agrochemicals supplier,1.259451,35.0983138,0757 168609
"Agrovets in Trans Nzoia, Kenya",Anifarm Agrovet,"At, Eldoret-Kitale Rd",Animals,0.874746,35.1203866,0701 865587
"Agrovets in Trans Nzoia, Kenya",Allutah's Agrovet Kamukuywa,QQHQ+RV7,Agrochemicals supplier,0.7795364,34.7896832,0723 940321
"Agrovets in Trans Nzoia, Kenya",LUCHENDI AGROVET,QQM4+WXP,Veterinary care,0.7848467,34.7574553,0740 351833
"Agrovets in Trans Nzoia, Kenya",KAWANGWARE 46 AGROVET,Gitanga Rd,Veterinary care,0.9072876,35.48589,0721 487063
"Agrovets in Trans Nzoia, Kenya",LUNAR AGROVET,"Main Street,Cheptais",Veterinary care,0.828728,34.454996,055 30291
"Agrovets in Trans Nzoia, Kenya",Greenbelt Agrovet,Veterinary pharmacy,Veterinary pharmacy,0.830773,35.1211232,0797 400197
"Agrovets in Trans Nzoia, Kenya",Ndalu Agrovet,RXRV+GCM,Agricultural production,0.8413255,34.9935583,0723 698464
"Agrovets in Trans Nzoia, Kenya",Tulin Agrovet,"X6JC+Q5C, C48",Agrochemicals supplier,0.9819297,35.2203986,0714 443999
"Agrovets in Trans Nzoia, Kenya",THE CROWN ROYALE AGROVET KIMININI,"Off ndalu road,opposite glory inn",Agrochemicals supplier,0.8897561,34.926419,0780 305180
"Agrovets in Trans Nzoia, Kenya",Nabongo Agrovet,Ambwere Plaza,Agrochemicals supplier,1.0150266,35.0007345,0792 594367
"Agrovets in Trans Nzoia, Kenya",Tehila Agrovet,RPR8+C5,General store,0.8409157,34.7154235,0726 067183
"Agrovets in Nanyuki, Kenya",Northland Farmers Agrovet,,Agrochemicals supplier,0.0114891,37.0752194,0722 661338
"Agrovets in Nanyuki, Kenya",Mwihoko Agrovet,Nyeri - Nanyuki Rd,Agricultural service,0.000141,37.0705035,0720 662465
"Agrovets in Nanyuki, Kenya",Hope farm agrovet nanyuki,Irura road,Agricultural service,0.0018551,37.074024,0768 855262
"Agrovets in Nanyuki, Kenya",Nosidan Agrovet,"Nanyuki Lumumba Rd Baraka Bldg, Laikipia East",Business administration service,0.017124,37.075263,062 2031184
"Agrovets in Nanyuki, Kenya",Spur Agrovet,Juakali,Agrochemicals supplier,0.1292639,37.0299081,0729 241843
"Agrovets in Machakos, Kenya",Sephkim Agrovet,"F7J9+8HM, Ground Floor, Shanbap House, Off Machakos Wote Road",Animal feed store,-1.5191717,37.2689103,0722 687664
"Agrovets in Machakos, Kenya",Farm Care Agrovet,"F7J9+8H4, Ground Floor, Shanbad House, Off Machakos Wote Road",Animal feed store,-1.519237,37.2689449,0726 248347
"Agrovets in Machakos, Kenya",Muthetheni Agrovet,"F7H9+VX9, Near Co - Operative Bank, Syokimau Ave",Agrochemicals supplier,-1.5203402,37.2699726,0717 770223
"Agrovets in Machakos, Kenya",Riziki Agrovet,"F7HC+W79, Near Masaku Market, Ngei Road",Agrochemicals supplier,-1.5202036,37.2707316,0720 884078
"Agrovets in Machakos, Kenya",Sheba Agrovet,mashariki bus park Machakos Central,Agrochemicals supplier,-1.521422,37.2689811,0712 741297
"Agrovets in Machakos, Kenya",Agrovet Seeds,"F7J9+6VQ, Opposite Kiamba Mall, Syokimau Ave",Agrochemicals supplier,-1.5194119,37.2697433,0735 550238
"Agrovets in Machakos, Kenya",Makamithi Enterprises Ltd,Mbolu Malu Rd,Agrochemicals supplier,-1.5182444,37.2656056,0707 069409
"Agrovets in Machakos, Kenya",Asal Agro - Vet,"F7H9+MG7, Mdcli Garrage, Syokimau Road, Makutano - Kitui Rd",Veterinary care,-1.5208459,37.2688074,0720 496858
"Agrovets in Kiambu, Kenya",Brilliance House Agrovet,Biashara St,Agricultural product wholesaler,-1.1710437,36.8280228,0111 847294
"Agrovets in Kiambu, Kenya",Felison Agrovet,"Ann's arcade, Karuri Kiambu Rd",Animal hospital,-1.173178,36.8313286,0729 223746
"Agrovets in Kiambu, Kenya",Sepros Limited,"RRHG+RXV, Ground Floor, Peflo Centre, Kiambu Rd",Agrochemicals supplier,-1.1703818,36.8274098,0721 843872
"Agrovets in Kiambu, Kenya",Goodwish Agrovet,Kiambu Rd,Veterinarian,-1.1618962,36.8219568,0722 243563
"Agrovets in Kiambu, Kenya",Micmos Agrovet and Animal feeds,"Thindigwa, Kiambu Rd",Animal feed store,-1.201234,36.8348476,0708 795373
"Agrovets in Kiambu, Kenya",Githurai 45 Agrovet,Mwihoko Rd,Hay supplier,-1.2080962,36.9261452,0798 395262
"Agrovets in Kiambu, Kenya",Sheqel Investments,"Township, Kiambu Rd",Hardware store,-1.1696209,36.8268987,0725 623013
